Store,Sales_2010,Sales_2011,Sales_2012,Sales_Change,Percent_Change
31,21617186.1955,22890968.269499995,22139353.282200005,522167.0867000036,2.4155182916854456
34,24978993.713400003,25596270.511499997,26176219.473799992,1197225.7603999898,4.792930308308365
28,35871194.25729999,35478189.149399996,34709879.1554,-1161315.101899989,-3.237458707312636
26,25535828.159300007,25525875.936800003,25676879.12219999,141050.96289998293,0.5523649439527301
27,46220818.2908,43967193.945,41910490.369,-4310327.921799995,-9.32551192556005
44,7625498.114900001,8041903.8574,8838088.0313,1212589.9163999995,15.901779767417871
12,26453699.837499995,26674708.6481,27460199.275200006,1006499.4377000108,3.8047586684764094
22,25378153.336000003,25004873.745600007,24744828.5206,-633324.8154000044,-2.495551220827427
1,24043564.72529999,24860979.763,25371685.6366,1328120.9113000073,5.523810327103799
13,51487780.007,52712910.80400001,54573115.70600001,3085335.6990000084,5.992364981711278
16,8963980.096700002,9216401.461200003,9148953.7624,184973.66569999792,2.0635216020626164
6,25195796.82,24425825.1362,24674566.067499995,-521230.75250000507,-2.068721049878688
3,5954566.802700001,6202796.444200001,6599830.674500001,645263.8717999998,10.836453652806709
40,24305749.917400006,24547513.9607,24612087.962199997,306338.04479999095,1.260352162928697
20,33843106.52150001,34302199.809999995,34441346.2793,598239.7577999905,1.7676857099980994
5,4807299.259799998,4984135.686600001,5256047.9265,448748.6667000018,9.33473541896103
19,37856095.262499996,36368006.936400004,35394004.98699999,-2462090.275500007,-6.503814665584217
41,20627777.573699996,22565182.399200007,23724295.639500003,3096518.0658000074,15.011399336339586
15,16356245.250099998,15558192.519400002,14970370.3482,-1385874.9018999971,-8.473062617421466
43,11219745.0807,10465244.039900003,10306791.110699998,-912953.9700000025,-8.13702952636998
37,8216270.5569,8480041.551200002,8303492.034099999,87221.47719999868,1.061570168557197
17,22637598.820800003,23608605.2988,25113370.075599995,2475771.254799992,10.936545321782052
9,7992048.744600001,8540152.4397,8767074.8088,775026.0641999999,9.697464179302747
35,27895773.013499998,20712705.6871,20597031.535899997,-7298741.477600001,-26.164327742657704
4,51302299.923999995,55996167.36199999,58282248.71999999,6979948.795999996,13.605528029620892
8,13763437.565699998,14268666.4306,14323507.0432,560069.477500001,4.069255771506937
39,21316987.230599996,22831858.9154,24554207.511099998,3237220.280500002,15.18610601714418
23,35090190.5728,34617831.1645,35369934.008700006,279743.4359000027,0.7972126435723736
7,9109707.7111,10280570.0523,10583813.559400002,1474105.8483000007,16.181703025486005
10,50927120.12899999,49510706.087000005,49353611.856,-1573508.2729999945,-3.089725609879861
45,14337271.181300001,14337817.387099998,14176887.485699998,-160383.695600003,-1.118648685456897
38,9274163.6261,10255282.9139,11593367.0478,2319203.4217000008,25.007143664935306
25,11642673.970700001,11214100.327899998,11322383.6911,-320290.2796000019,-2.751002737052035
24,35244952.8286,34182015.0054,34183688.37260001,-1061264.4559999853,-3.0111104451211177
29,13681888.506299999,13423227.4784,13334321.5779,-347566.9283999987,-2.5403432299565742
21,12096106.458400002,12316713.168699998,11341969.818799999,-754136.6396000031,-6.234540363823449
32,19867753.208299994,20746007.643400002,20833021.468500003,965268.2602000087,4.858467135562949
33,7460051.530199999,6781015.9147,7139450.6570999995,-320600.8730999995,-4.297569149517717
11,21126978.5111,21154274.075199995,21363170.1352,236191.62409999967,1.117962154294358
14,40365900.39830001,37557694.449599996,33468205.186900005,-6897695.211400002,-17.087926054761052
42,14292833.3517,15062376.753700001,15491339.0304,1198505.6787,8.385361035203344
2,31121705.28360001,29945522.032999996,30277789.110799987,-843916.1728000231,-2.7116643034491297
30,7343230.328500001,6905284.448299999,6896528.080799998,-446702.247700003,-6.083184480354584
18,29339958.6423,25804773.683499996,26774094.540900003,-2565864.1013999954,-8.745288746592635
36,7340209.8744,6181093.1252999995,4929845.212999999,-2410364.6614000015,-32.83781666524935
