Month,Year,Store,Day,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,FormattedDate,FormattedHolidayFlag,HolidayType,Real_Weekly_Sales
2,2010,8,26,847592.11,0,37.91,2.561,214.6940735,6.299,26-Feb-10,Not Holiday,Non-Holiday,394790.6415
9,2010,16,3,542087.89,0,58.02,2.773,190.3621607,6.868,3-Sep-10,Not Holiday,Non-Holiday,284766.6196
9,2010,36,3,431294.45,0,82.29,2.533,210.2966631,8.36,3-Sep-10,Not Holiday,Non-Holiday,205088.5847
9,2010,17,3,834373.73,0,57.86,2.868,126.1019355,6.697,3-Sep-10,Not Holiday,Non-Holiday,661666.0773
9,2010,41,3,1223355.5,0,64.13,2.773,190.3621607,7.335,3-Sep-10,Not Holiday,Non-Holiday,642646.3618
9,2010,43,3,689326.91,0,80.43,2.577,203.4507258,9.816,3-Sep-10,Not Holiday,Non-Holiday,338817.6215
9,2010,13,3,1911852.58,0,65.71,2.868,126.1019355,7.951,3-Sep-10,Not Holiday,Non-Holiday,1516116.761
9,2010,34,3,964356.74,0,72.59,2.584,126.1019355,9.816,3-Sep-10,Not Holiday,Non-Holiday,764743.8052
9,2010,12,3,1075758.55,0,83.12,3.087,126.1019355,14.18,3-Sep-10,Not Holiday,Non-Holiday,853086.4699
9,2010,38,3,377096.55,0,83.12,3.087,126.1019355,14.18,3-Sep-10,Not Holiday,Non-Holiday,299041.0484
9,2010,11,3,1303914.27,0,84.94,2.577,214.8481685,7.346,3-Sep-10,Not Holiday,Non-Holiday,606900.3423
9,2010,18,3,1187359.77,0,75.42,2.735,132.7248387,9.342,3-Sep-10,Not Holiday,Non-Holiday,894602.5338
9,2010,37,3,510427.53,0,82.29,2.577,210.2966631,8.36,3-Sep-10,Not Holiday,Non-Holiday,242717.8456
9,2010,26,3,1037549.71,0,66.93,2.735,132.7248387,8.445,3-Sep-10,Not Holiday,Non-Holiday,781729.8707
9,2010,7,3,532765.05,0,49.84,2.773,190.3621607,9.017,3-Sep-10,Not Holiday,Non-Holiday,279869.1967
9,2010,5,3,323798,0,84.06,2.577,212.0869176,6.496,3-Sep-10,Not Holiday,Non-Holiday,152672.3117
9,2010,14,3,2182563.66,0,78.37,2.715,182.6042922,8.743,3-Sep-10,Not Holiday,Non-Holiday,1195242.255
9,2010,4,3,1935857.58,0,76.8,2.584,126.1019355,7.372,3-Sep-10,Not Holiday,Non-Holiday,1535152.948
9,2010,8,3,899036.47,0,76.14,2.577,214.894576,6.315,3-Sep-10,Not Holiday,Non-Holiday,418361.6389
9,2010,22,3,1074535.88,0,75.85,2.735,136.5891118,8.433,3-Sep-10,Not Holiday,Non-Holiday,786692.1937
9,2010,9,3,511049.06,0,82.47,2.577,215.0779426,6.442,3-Sep-10,Not Holiday,Non-Holiday,237611.0976
9,2010,24,3,1366381.6,0,73.52,2.86,132.7248387,8.117,3-Sep-10,Not Holiday,Non-Holiday,1029484.468
9,2010,45,3,790144.7,0,78.37,2.715,182.6042922,8.743,3-Sep-10,Not Holiday,Non-Holiday,432708.7225
9,2010,32,3,1095932.51,0,70.2,2.773,190.3621607,9.017,3-Sep-10,Not Holiday,Non-Holiday,575709.2197
9,2010,39,3,1345167.61,0,82.13,2.577,210.2966631,8.36,3-Sep-10,Not Holiday,Non-Holiday,639652.3797
9,2010,40,3,976453.34,0,70.66,2.735,132.7248387,5.326,3-Sep-10,Not Holiday,Non-Holiday,735697.5149
9,2010,33,3,237405.82,0,90.82,3.087,126.1019355,9.495,3-Sep-10,Not Holiday,Non-Holiday,188265.0088
9,2010,20,3,2121561.41,0,75.5,2.715,204.7583566,7.527,3-Sep-10,Not Holiday,Non-Holiday,1036129.341
9,2010,28,3,1523410.71,0,83.12,3.087,126.1019355,14.18,3-Sep-10,Not Holiday,Non-Holiday,1208078.769
9,2010,3,3,366473.97,0,84.16,2.577,214.8481685,7.346,3-Sep-10,Not Holiday,Non-Holiday,170573.4671
9,2010,42,3,524658.06,0,83.8,3.087,126.1019355,9.199,3-Sep-10,Not Holiday,Non-Holiday,416058.6893
9,2010,44,3,295880.12,0,65.71,2.868,126.1019355,7.804,3-Sep-10,Not Holiday,Non-Holiday,234635.669
9,2010,1,3,1540163.53,0,81.21,2.577,211.5312479,7.787,3-Sep-10,Not Holiday,Non-Holiday,728102.134
9,2010,10,3,1766331.45,0,83.8,3.087,126.1019355,9.199,3-Sep-10,Not Holiday,Non-Holiday,1400717.16
9,2010,25,3,685700.08,0,71.17,2.715,204.7583566,7.527,3-Sep-10,Not Holiday,Non-Holiday,334882.5862
9,2010,35,3,948660.79,0,78.52,2.715,136.5891118,8.861,3-Sep-10,Not Holiday,Non-Holiday,694536.1731
9,2010,27,3,1908110.9,0,78.52,2.86,136.5891118,7.982,3-Sep-10,Not Holiday,Non-Holiday,1396971.453
